1970,1000
1971,1500
1972,1200
1973,1300
1974,1400
1975,1600
1976,1700
1977,1800
1978,1900
1979,2000
1980,2100
1981,2200
1982,2300
1983,2400
1984,2500
1985,2600
1986,2700
1987,2800
1988,2900
1989,3000
1990,3100
1991,3200
1992,3300
1993,3400
1994,3500
1995,3600
1996,3700
1997,3800
1998,3900
1999,4000
2000,4100
2001,4200
2002,4300
2003,4400
2004,4500
2005,4600
2006,4700
2007,4800
2008,4900
2009,5000
2010,5100
2011,5200
2012,5300
2013,5400
2014,5500
2015,5600
2016,5700
2017,5800
2018,5900
2019,6000
2020,6100
2021,6200
2022,6300
2023,6400
2024,0
